WARD,month,permits
9,2020-03,1
9,2020-04,1
9,2020-06,1
9,2020-10,1
9,2021-01,1
9,2021-03,1
10,2008-03,4
10,2008-04,4
10,2008-05,4
10,2008-06,2
10,2008-07,2
10,2008-09,1
10,2008-10,3
10,2008-11,3
10,2008-12,1
10,2009-01,1
10,2009-05,1
10,2009-06,1
10,2009-07,1
10,2009-10,1
10,2010-02,1
10,2010-06,2
10,2010-08,2
10,2010-10,4
10,2011-01,1
10,2011-04,2
10,2011-06,2
10,2011-08,6
10,2012-03,1
10,2012-05,1
10,2012-08,1
10,2012-09,1
10,2012-10,2
10,2012-12,2
10,2013-05,2
10,2013-06,1
10,2013-09,1
10,2014-05,1
10,2014-06,1
10,2014-08,1
10,2014-12,1
10,2015-01,1
10,2015-02,1
10,2015-03,1
10,2015-05,2
10,2015-07,1
10,2015-11,1
10,2015-12,1
10,2016-04,2
10,2016-05,2
10,2016-08,2
10,2016-09,2
10,2016-10,2
10,2016-11,1
10,2016-12,2
10,2017-01,2
10,2017-03,2
10,2017-05,1
10,2017-08,1
10,2017-09,3
10,2017-10,1
10,2017-12,1
10,2018-03,1
10,2018-08,3
10,2019-02,1
10,2019-03,1
10,2019-07,1
10,2019-08,4
10,2019-10,2
10,2020-02,2
10,2020-03,1
10,2020-05,1
10,2020-06,2
10,2020-08,1
10,2020-09,3
10,2020-10,1
10,2020-12,6
10,2021-01,1
10,2021-03,1
11,2007-08,1
11,2008-03,4
11,2008-04,9
11,2008-05,10
11,2008-06,1
11,2008-07,3
11,2008-08,5
11,2008-09,3
11,2008-10,5
11,2008-12,3
11,2009-01,2
11,2009-03,4
11,2009-05,4
11,2009-06,5
11,2009-07,1
11,2009-09,7
11,2009-10,2
11,2009-11,2
11,2009-12,3
11,2010-01,4
11,2010-02,2
11,2010-03,2
11,2010-04,4
11,2010-05,2
11,2010-07,4
11,2010-08,2
11,2010-09,3
11,2010-10,4
11,2010-11,7
11,2010-12,3
11,2011-01,2
11,2011-02,1
11,2011-03,1
11,2011-04,3
11,2011-05,1
